game_id,season_id,team_id_home,game_date,matchup_home,wl_home,pts_home,team_id_away,wl_away,pts_away,game_status_text,season,attendance,series_leader
21500099,22015,1610612754,11/9/2015,IND vs. ORL,W,97,1610612753,L,84,Final,2015,13104.0,Indiana
21500101,22015,1610612737,11/9/2015,ATL vs. MIN,L,107,1610612750,W,117,Final,2015,12016.0,Minnesota
21500103,22015,1610612758,11/9/2015,SAC vs. SAS,L,88,1610612759,W,106,Final,2015,17317.0,San Antonio
21500102,22015,1610612743,11/9/2015,DEN vs. POR,W,108,1610612757,L,104,Final,2015,9153.0,Portland
21500106,22015,1610612739,11/10/2015,CLE vs. UTA,W,118,1610612762,L,114,Final,2015,20562.0,Tied
21500108,22015,1610612748,11/10/2015,MIA vs. LAL,W,101,1610612747,L,88,Final,2015,19825.0,Tied
21500110,22015,1610612749,11/10/2015,MIL vs. BOS,L,83,1610612738,W,99,Final,2015,11822.0,Boston
21500111,22015,1610612750,11/10/2015,MIN vs. CHA,L,95,1610612766,W,104,Final,2015,14722.0,Charlotte
21500107,22015,1610612764,11/10/2015,WAS vs. OKC,L,101,1610612760,W,125,Final,2015,20356.0,Oklahoma City
21500109,22015,1610612761,11/10/2015,TOR vs. NYK,L,109,1610612752,W,111,Final,2015,19800.0,Toronto
21500112,22015,1610612740,11/10/2015,NOP vs. DAL,W,120,1610612742,L,105,Final,2015,17128.0,Tied
21500115,22015,1610612755,11/11/2015,PHI vs. TOR,L,103,1610612761,W,119,Final,2015,12744.0,Toronto
21500116,22015,1610612738,11/11/2015,BOS vs. IND,L,91,1610612754,W,102,Final,2015,17879.0,Indiana
21500114,22015,1610612753,11/11/2015,ORL vs. LAL,W,101,1610612747,L,99,Final,2015,18846.0,Tied
21500119,22015,1610612745,11/11/2015,HOU vs. BKN,L,98,1610612751,W,106,Final,2015,18155.0,Brooklyn
21500123,22015,1610612757,11/11/2015,POR vs. SAS,L,101,1610612759,W,113,Final,2015,19393.0,San Antonio
21500118,22015,1610612742,11/11/2015,DAL vs. LAC,W,118,1610612746,L,108,Final,2015,19805.0,LA Clippers
21500117,22015,1610612737,11/11/2015,ATL vs. NOP,W,106,1610612740,L,98,Final,2015,15597.0,Atlanta
21500122,22015,1610612758,11/11/2015,SAC vs. DET,W,101,1610612765,L,92,Final,2015,17317.0,Tied
