yearcombine,idplayer,namefirst,namelast,nameplayer,slugposition,heightwoshoesinches,heightwoshoes,weightlbs,wingspaninches,wingspan,reachstandinginches,reachstandingo,verticalleapstandinginches,verticalleapmaxinches,timelaneagility,timethreequartercourtsprint,repsbenchpress135
2020,1629642,Nassir,Little,Nassir Little,SF,76.5,6' 4.5'',224.2,85.25,7' 1.25'',104.5,8' 8.5'',31.0,38.5,12.15,3.24,5.0
2020,1629611,Terance,Mann,Terance Mann,SG-SF,76.75,6' 4.75'',204.6,79.75,6' 7.75'',101.0,8' 5'',32.5,38.5,11.51,3.3,6.0
2020,1628998,Cody,Martin,Cody Martin,PG-SG,76.75,6' 4.75'',192.2,82.25,6' 10.25'',102.5,8' 6.5'',28.0,35.5,10.44,3.32,7.0
2020,1629666,Charles,Matthews,Charles Matthews,SG,77.0,6' 5'',194.8,81.5,6' 9.5'',103.0,8' 7'',29.5,37.5,11.26,3.38,9.0
2020,1629667,Jalen,McDaniels,Jalen McDaniels,SF,80.25,6' 8.25'',191.6,84.25,7' 0.25'',105.5,8' 9.5'',29.5,33.5,11.54,3.32,0.0
2020,1629630,Ja,Morant,Ja Morant,PG,,,,,,,,,,,,
2020,1629668,Zach,Norvell Jr.,Zach Norvell Jr.,SG,76.5,6' 4.5'',206.4,78.0,6' 6'',101.0,8' 5'',24.0,30.0,11.6,3.43,
2020,1629669,Jaylen,Nowell,Jaylen Nowell,SG,75.25,6' 3.25'',202.4,79.25,6' 7.25'',98.0,8' 2'',32.0,38.5,10.76,3.23,2.0
2020,1629670,Jordan,Nwora,Jordan Nwora,PF,77.75,6' 5.75'',220.0,82.5,6' 10.5'',103.0,8' 7'',,,,,
2020,1629643,Chuma,Okeke,Chuma Okeke,,,,,,,,,,,,,
2020,1629644,KZ,Okpala,KZ Okpala,SF,79.25,6' 7.25'',209.6,85.75,7' 1.75'',106.5,8' 10.5'',30.5,37.0,10.88,3.38,9.0
2020,1629671,Miye,Oni,Miye Oni,SG,76.25,6' 4.25'',205.6,82.75,6' 10.75'',100.5,8' 4.5'',30.5,38.5,11.71,3.17,19.0
2020,1629672,Eric,Paschall,Eric Paschall,SF,78.0,6' 6'',254.4,87.75,6' 11.75'',103.5,8' 7.5'',33.0,38.0,11.63,3.3,18.0
2020,1629617,Reggie,Perry,Reggie Perry,SF-PF,80.0,6' 8'',250.8,84.5,7' 0.5'',106.0,8' 10'',28.5,31.5,12.46,3.3,15.0
2020,1629044,Shamorie,Ponds,Shamorie Ponds,PG,71.5,5' 11.5'',180.0,75.5,6' 3.5'',96.5,8' 0.5'',29.0,37.0,11.01,3.2,0.0
2020,1629673,Jordan,Poole,Jordan Poole,SG,75.5,6' 3.5'',190.8,78.75,6' 6.75'',99.5,8' 3.5'',28.0,35.5,10.59,3.27,
2020,1629007,Jontay,Porter,Jontay Porter,PF,81.75,6' 9.75'',210.4,84.0,7' 0'',109.5,9' 1.5'',,,,,
2020,1629645,Kevin,Porter Jr.,Kevin Porter Jr.,SG,76.0,6' 4'',212.6,81.0,6' 9'',103.0,8' 7'',27.0,34.0,10.82,3.14,2.0
2020,1629674,Neemias,Queta,Neemias Queta,C,82.75,6' 10.75'',225.8,88.25,7' 4.25'',111.5,9' 3.5'',24.0,32.5,12.04,3.73,1.0
2020,1629629,Cameron,Reddish,Cameron Reddish,SF,78.5,6' 6.5'',207.8,84.5,7' 0.5'',105.5,8' 9.5'',,,,,
2020,1629675,Naz,Reid,Naz Reid,PF,80.25,6' 8.75'',255.8,87.25,7' 3.25'',109.0,9' 1'',26.0,32.5,12.03,3.42,3.0
2020,1629676,Isaiah,Roby,Isaiah Roby,PF,79.25,6' 7.25'',214.0,85.0,7' 1'',106.0,8' 10'',32.5,35.5,10.63,3.25,9.0
2020,1629677,Luka,Samanic,Luka Samanic,PF,81.5,6' 9.5'',227.2,82.5,6' 10.5'',107.0,8' 11'',27.0,38.0,11.01,3.27,7.0
2020,1629678,Admiral,Schofield,Admiral Schofield,SF,76.0,6' 4'',240.6,81.75,6' 9.75'',102.5,8' 6.5'',30.0,34.0,10.77,3.37,15.0
2020,1629621,Marial,Shayok,Marial Shayok,SF-PF,76.5,6' 4.5'',196.8,84.25,7' 0.25'',103.5,8' 7.5'',29.5,36.5,11.16,3.37,9.0
2020,1629679,Simisola,Shittu,Simisola Shittu,PF,80.5,6' 8.5'',227.2,85.25,7' 1.25'',106.0,8' 10'',27.0,35.5,11.85,3.3,11.0
2020,1629681,Killian,Tillie,Killian Tillie,,,,,,,,,,,,,
2020,1629023,P.J.,Washington,P.J. Washington,PF,78.5,6' 6.5'',230.4,86.5,7' 2.25'',106.5,8' 10.5'',,,,,
2020,1629682,Tremont,Waters,Tremont Waters,PG,69.5,5' 9.5'',172.4,74.25,6' 2.25'',93.5,7' 9.5'',30.5,40.5,10.76,3.07,5.0
2020,1629683,Quinndary,Weatherspoon,Quinndary Weatherspoon,SG,75.0,6' 3'',206.6,81.0,6' 9'',100.0,8' 4'',31.0,38.0,11.57,3.16,
2020,1629632,Coby,White,Coby White,PG,75.5,6' 3.5'',191.4,77.0,6' 5'',97.5,8' 1.5'',,,,,
2020,1629025,Kris,Wilkes,Kris Wilkes,SF,78.25,6' 6.25'',208.8,82.75,6' 10.75'',103.0,8' 7'',27.5,35.0,10.39,3.34,4.0
2020,1629684,Grant,Williams,Grant Williams,PF,77.75,6' 5.75'',240.2,81.75,6' 9.75'',104.5,8' 8.5'',26.0,31.5,10.83,3.33,20.0
2020,1629627,Zion,Williamson,Zion Williamson,PF,,,,,,,,,,,,
2020,1629685,Dylan,Windler,Dylan Windler,SF,78.25,6' 6.25'',195.8,82.0,6' 10'',104.5,8' 8.5'',29.0,37.5,10.7,3.3,8.0
