official_id,first_name,last_name,game_id
1155,JB,DeRosa,20000534
1168,David,Jones,20000534
1147,Mike,Callahan,20000560
1189,Phil,Robinson,20000560
1165,Luis,Grillo,20000560
1166,Hue,Hollins,20000562
1143,Gary,Benson,20000562
1181,Tommy,Nunez,20000562
1142,Dick,Bavetta,20000595
1165,Luis,Grillo,20000595
1662,Bill,Kennedy,20000595
1148,James,Capers,20000624
1170,Denise,Kantner,20000624
1825,Mike,Mathis,20000624
1828,Hank,Armstrong,20000684
1825,Mike,Mathis,20000684
1146,Tony,Brothers,20000684
1166,Hue,Hollins,20000814
1144,Ted,Bernhardt,20000814
1172,Jim,Kinsey,20000814
2004,Courtney,Kirkland,20000874
1147,Mike,Callahan,20000874
1192,Bennett,Salvatore,20000874
1197,Don,Vaden,20000907
1170,Denise,Kantner,20000907
1150,Jimmy,Clark,20000907
1168,David,Jones,20001001
1192,Bennett,Salvatore,20001001
1204,Derek,Richardson,20001001
1203,Mark,Wunderlich,20001002
1158,Hugh,Evans,20001002
1827,George,Toliver,20001002
1142,Dick,Bavetta,20001026
1176,Monty,McCutchen,20001026
1188,Leroy,Richardson,20001026
1168,David,Jones,20001054
1192,Bennett,Salvatore,20001054
1825,Mike,Mathis,20001054
1155,JB,DeRosa,20001075
2004,Courtney,Kirkland,20001075
1168,David,Jones,20001075
1182,Ronnie,Nunn,20001108
1159,Kevin,Fehr,20001108
1184,Ron,Olesiak,20001108
1148,James,Capers,20001178
1163,Bernie,Fryer,20001178
1165,Luis,Grillo,20001178
1198,Scott,Wall,20100136
1144,Ted,Bernhardt,20100136
1156,Tim,Donaghy,20100136
1154,Bob,Delaney,20100148
1159,Kevin,Fehr,20100148
1825,Mike,Mathis,20100148
2002,Derrick,Collins,20100155
1146,Tony,Brothers,20100155
1167,Steve,Javie,20100155
1827,George,Toliver,20100223
1197,Don,Vaden,20100223
1152,Dan,Crawford,20100223
1159,Kevin,Fehr,20100261
1153,Joe,Crawford,20100261
1165,Luis,Grillo,20100261
1154,Bob,Delaney,20100269
1165,Luis,Grillo,20100269
1168,David,Jones,20100269
1197,Don,Vaden,20100279
1161,Joe,Forte,20100279
2003,Pat,Fraher,20100279
1204,Derek,Richardson,20100320
1826,Jess,Kersey,20100320
1167,Steve,Javie,20100320
1195,Derrick,Stafford,20100372
1193,Michael,Smith,20100372
1144,Ted,Bernhardt,20100372
1662,Bill,Kennedy,20100390
1167,Steve,Javie,20100390
1150,Jimmy,Clark,20100390
1176,Monty,McCutchen,20100446
1192,Bennett,Salvatore,20100446
1198,Scott,Wall,20100446
1144,Ted,Bernhardt,20100456
1174,Ken,Mauer,20100456
1199,Tom,Washington,20100456
1152,Dan,Crawford,20100514
1193,Michael,Smith,20100514
1195,Derrick,Stafford,20100514
1189,Phil,Robinson,20100527
1144,Ted,Bernhardt,20100527
1188,Leroy,Richardson,20100527
1363,Bennie,Adams,20100544
1197,Don,Vaden,20100544
1168,David,Jones,20100544
1204,Derek,Richardson,20100560
1826,Jess,Kersey,20100560
1194,Bill,Spooner,20100560
1181,Tommy,Nunez,20100569
1185,Violet,Palmer,20100569
1161,Joe,Forte,20100569
1197,Don,Vaden,20100622
1188,Leroy,Richardson,20100622
1155,JB,DeRosa,20100622
1162,Scott,Foster,20100708
2003,Pat,Fraher,20100708
1200,Greg,Willard,20100708
1151,Sean,Corbin,20100712
1826,Jess,Kersey,20100712
1180,Jack,Nies,20100712
2002,Derrick,Collins,20100750
1144,Ted,Bernhardt,20100750
1184,Ron,Olesiak,20100750
1142,Dick,Bavetta,20100765
1148,James,Capers,20100765
1170,Denise,Kantner,20100765
