id,first_name,last_name,player_slug,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_city,playercode,from_year,to_year,draft_year,draft_round,draft_number,pts,ast,reb,all_star_appearances,pie
2124,Malik,Allen,malik-allen,USA,Villanova/USA,82.0,255.0,10,35,Forward,Inactive,1610612748,Heat,MIA,Miami,malik_allen,2001,2010,Undrafted,Undrafted,Undrafted,4.9,0.5,2.8,0.0,
76025,Randy,Allen,randy-allen,USA,Florida State/USA,80.0,220.0,1,33,Forward,Inactive,1610612758,Kings,SAC,Sacramento,HISTADD_randy_allen,1988,1989,Undrafted,Undrafted,Undrafted,3.6,0.3,2.1,0.0,
951,Ray,Allen,ray-allen,USA,Connecticut/USA,77.0,205.0,17,34,Guard,Inactive,1610612749,Bucks,MIL,Milwaukee,ray_allen,1996,2013,1996,1,5,18.9,3.4,4.1,10.0,
2754,Tony,Allen,tony-allen,USA,Oklahoma State/USA,76.0,213.0,13,,Guard-Forward,Inactive,0,,,,tony_allen,2004,2017,2004,1,25,8.1,1.3,3.5,0.0,
200984,Lance,Allred,lance-allred,USA,Weber State/USA,83.0,250.0,1,41,Center,Inactive,1610612739,Cavaliers,CLE,Cleveland,lance_allred,2007,2007,Undrafted,Undrafted,Undrafted,1.0,0.0,0.3,0.0,
201165,Morris,Almond,morris-almond,USA,Rice/USA,78.0,225.0,3,21,Guard,Inactive,1610612762,Jazz,UTA,Utah,morris_almond,2007,2011,2007,1,25,3.1,0.3,1.2,0.0,
1747,Rafer,Alston,rafer-alston,USA,Fresno State/USA,74.0,175.0,10,11,Guard,Inactive,1610612745,Rockets,HOU,Houston,rafer_alston,1999,2009,1998,2,39,10.1,4.8,2.8,0.0,
1824,Peter,Aluma,peter-aluma,USA,Liberty/USA,82.0,260.0,0,,Center,Inactive,0,,,,peter_aluma,1998,1998,Undrafted,Undrafted,Undrafted,1.0,0.0,1.0,0.0,
680,John,Amaechi,john-amaechi,United Kingdom,Penn State/United Kingdom,82.0,270.0,5,13,Forward-Center,Inactive,1610612753,Magic,ORL,Orlando,john_amaechi,1995,2002,Undrafted,Undrafted,Undrafted,6.2,0.8,2.6,0.0,
732,Ashraf,Amaya,ashraf-amaya,USA,Southern Illinois/USA,80.0,230.0,1,,Forward,Inactive,0,,,,ashraf_amaya,1995,1996,Undrafted,Undrafted,Undrafted,4.5,0.4,4.2,0.0,
202329,Al-Farouq,Aminu,al-farouq-aminu,USA,Wake Forest/USA,80.0,220.0,10,2,Forward,Active,1610612753,Magic,ORL,Orlando,al-farouq_aminu,2010,2020,2010,1,8,5.4,1.8,5.1,,0.079
200811,Lou,Amundson,lou-amundson,USA,UNLV/USA,81.0,220.0,10,17,Forward,Inactive,1610612756,Suns,PHX,Phoenix,lou_amundson,2006,2015,Undrafted,Undrafted,Undrafted,3.7,0.4,3.6,0.0,
2365,Chris,Andersen,chris-andersen,USA,Blinn J.C./USA,82.0,245.0,14,,Forward-Center,Inactive,0,,,,chris_andersen,2001,2016,Undrafted,Undrafted,Undrafted,5.4,0.5,5.0,0.0,
2431,David,Andersen,david-andersen,Australia,FC Barcelona/Australia,,,19,,,Inactive,0,,,,david_andersen,2009,2017,2002,2,36,4.9,0.6,2.8,0.0,
101187,Alan,Anderson,alan-anderson,USA,Michigan State/USA,78.0,220.0,8,9,Forward-Guard,Inactive,1610612751,Nets,BKN,Brooklyn,alan_anderson,2005,2016,Undrafted,Undrafted,Undrafted,7.3,1.1,2.2,0.0,
202079,Antonio,Anderson,antonio-anderson,USA,Memphis/USA,78.0,215.0,1,,Guard,Inactive,0,,,,antonio_anderson,2009,2009,Undrafted,Undrafted,Undrafted,2.0,0.0,1.0,0.0,
1507,Derek,Anderson,derek-anderson,USA,Kentucky/USA,77.0,195.0,11,1,Guard,Inactive,1610612757,Trail Blazers,POR,Portland,derek_anderson,1997,2007,1997,1,13,12.0,3.4,3.2,0.0,
944,Eric,Anderson,eric-anderson,USA,Indiana/USA,81.0,220.0,1,42,Forward,Inactive,1610612752,Knicks,NYK,New York,eric_anderson,1992,1993,Undrafted,Undrafted,Undrafted,1.6,0.2,1.1,0.0,
202341,James,Anderson,james-anderson,USA,Oklahoma State/USA,78.0,213.0,5,5,Guard-Forward,Inactive,1610612759,Spurs,SAS,San Antonio,james_anderson,2010,2015,2010,1,20,5.8,1.2,2.3,0.0,
1626147,Justin,Anderson,justin-anderson,USA,Virginia/USA,77.0,231.0,5,10,Forward-Guard,Inactive,1610612751,Nets,BKN,Brooklyn,justin_anderson,2015,2019,2015,1,21,5.2,0.7,2.5,0.0,
203937,Kyle,Anderson,kyle-anderson,USA,UCLA/USA,81.0,230.0,6,1,Forward-Guard,Active,1610612763,Grizzlies,MEM,Memphis,kyle_anderson,2014,2020,2014,1,30,12.8,3.4,5.8,,0.124
201583,Ryan,Anderson,ryan-anderson,USA,California/USA,81.0,240.0,11,,Forward,Inactive,0,,,,ryan_anderson,2008,2019,2008,1,21,12.3,0.9,5.3,0.0,
1000,Shandon,Anderson,shandon-anderson,USA,Georgia/USA,78.0,215.0,9,49,Guard-Forward,Inactive,1610612752,Knicks,NYK,New York,shandon_anderson,1996,2005,1996,2,54,7.4,1.4,3.1,0.0,
101149,Martynas,Andriuskevicius,martynas-andriuskevicius,Lithuania,Zalgiris/Lithuania,86.0,240.0,1,15,Center,Inactive,1610612739,Cavaliers,CLE,Cleveland,martynas_andriuskevicius,2005,2006,2005,2,44,0.0,0.0,0.7,0.0,
1628387,Ike,Anigbogu,ike-anigbogu,USA,UCLA/USA,82.0,250.0,2,,Center,Inactive,0,,,,ike_anigbogu,2017,2018,2017,2,47,0.9,0.1,0.9,0.0,
1512,Chris,Anstey,chris-anstey,Australia,South East Melbourne/Australia,84.0,249.0,2,22,Center,Inactive,1610612742,Mavericks,DAL,Dallas,chris_anstey,1997,1999,1997,1,18,5.2,0.8,3.4,0.0,
203507,Giannis,Antetokounmpo,giannis-antetokounmpo,Greece,Filathlitikos/Greece,83.0,242.0,7,34,Forward,Active,1610612749,Bucks,MIL,Milwaukee,giannis_antetokounmpo,2013,2020,2013,1,15,29.0,6.4,11.7,,0.196
1628961,Kostas,Antetokounmpo,kostas-antetokounmpo,Greece,Dayton/Greece,82.0,200.0,2,37,Forward,Active,1610612747,Lakers,LAL,Los Angeles,kostas_antetokounmpo,2018,2020,2018,2,60,1.2,0.0,1.8,,0.049
203648,Thanasis,Antetokounmpo,thanasis-antetokounmpo,Greece,Panathinaikos/Greece,78.0,219.0,2,43,Forward,Active,1610612749,Bucks,MIL,Milwaukee,thanasis_antetokounmpo,2015,2020,2014,2,51,2.2,0.7,2.0,,0.057
2546,Carmelo,Anthony,carmelo-anthony,USA,Syracuse/USA,79.0,238.0,17,0,Forward,Active,1610612757,Trail Blazers,POR,Portland,carmelo_anthony,2003,2020,2003,1,3,14.0,1.7,3.3,,0.088
201202,Joel,Anthony,joel-anthony,Canada,UNLV/Canada,81.0,245.0,10,30,Center,Inactive,1610612748,Heat,MIA,Miami,joel_anthony,2007,2016,Undrafted,Undrafted,Undrafted,2.2,0.2,2.8,0.0,
203544,Pero,Antic,pero-antic,Macedonia,Olympiacos/Macedonia,83.0,260.0,1,6,Forward-Center,Inactive,1610612737,Hawks,ATL,Atlanta,pero_antic,2013,2014,Undrafted,Undrafted,Undrafted,6.3,0.9,3.5,0.0,
1628384,OG,Anunoby,og-anunoby,United Kingdom,Indiana/United Kingdom,79.0,232.0,3,3,Forward,Active,1610612761,Raptors,TOR,Toronto,og_anunoby,2017,2020,2017,1,23,14.0,1.6,5.7,,0.092
203951,Keith,Appling,keith-appling,USA,Michigan State/USA,73.0,185.0,0,,Guard,Inactive,0,,,,keith_appling,2015,2015,Undrafted,Undrafted,Undrafted,1.2,0.2,0.2,0.0,
2737,Rafael,Araujo,rafael-araujo,Brazil,Brigham Young/Brazil,83.0,270.0,3,55,Center,Inactive,1610612761,Raptors,TOR,Toronto,rafael_araujo,2004,2006,2004,1,8,2.8,0.3,2.8,0.0,
76053,Stacey,Arceneaux,stacey-arceneaux,USA,Iowa State/USA,76.0,210.0,0, ,Forward,Inactive,1610612737,Hawks,STL,St. Louis,HISTADD_stacey_arceneaux,1961,1961,Undrafted,Undrafted,Undrafted,7.1,0.6,4.6,0.0,
2425,Robert,Archibald,robert-archibald,Scotland,Illinois/Scotland,83.0,250.0,2,34,Forward,Inactive,1610612761,Raptors,TOR,Toronto,robert_archibald,2002,2003,2002,2,31,1.2,0.4,1.6,0.0,
1627853,Ryan,Arcidiacono,ryan-arcidiacono,USA,Villanova/USA,75.0,195.0,3,51,Guard,Active,1610612741,Bulls,CHI,Chicago,ryan_arcidiacono,2017,2020,Undrafted,Undrafted,Undrafted,3.2,1.2,1.6,,0.071
2240,Gilbert,Arenas,gilbert-arenas,USA,Arizona/USA,76.0,215.0,11,10,Guard,Inactive,1610612764,Wizards,WAS,Washington,gilbert_arenas,2001,2011,2001,2,30,20.7,5.3,3.9,3.0,
2772,Trevor,Ariza,trevor-ariza,USA,UCLA/USA,80.0,215.0,16,0,Forward,Active,1610612748,Heat,MIA,Miami,trevor_ariza,2004,2020,2004,2,43,4.0,1.0,3.3,,0.056
2220,Brandon,Armstrong,brandon-armstrong,USA,Pepperdine/USA,77.0,185.0,3,1,Guard,Inactive,1610612751,Nets,NJN,New Jersey,brandon_armstrong,2001,2003,2001,1,23,2.2,0.2,0.6,0.0,
353,Darrell,Armstrong,darrell-armstrong,USA,Fayetteville State/USA,73.0,180.0,14,10,Guard,Inactive,1610612753,Magic,ORL,Orlando,darrell_armstrong,1994,2007,Undrafted,Undrafted,Undrafted,9.2,4.0,2.7,0.0,
200756,Hilton,Armstrong,hilton-armstrong,USA,Connecticut/USA,83.0,235.0,5,57,Forward-Center,Inactive,1610612740,Hornets,NOH,New Orleans,hilton_armstrong,2006,2013,2006,1,12,3.0,0.3,2.6,0.0,
76060,Paul,Armstrong,paul-armstrong,USA,Indiana/USA,71.0,170.0,2,3,Guard,Inactive,1610612765,Pistons,FTW,Ft. Wayne Zollner,HISTADD_curly_armstrong,1948,1950,Undrafted,Undrafted,Undrafted,6.8,2.3,2.3,0.0,
2306,Carlos,Arroyo,carlos-arroyo,Puerto Rico,Florida International/Puerto Rico,74.0,200.0,9,45,Guard,Inactive,1610612753,Magic,ORL,Orlando,carlos_arroyo,2001,2010,Undrafted,Undrafted,Undrafted,6.6,3.1,1.7,0.0,
201589,Darrell,Arthur,darrell-arthur,USA,Kansas/USA,81.0,235.0,9,0,Forward,Inactive,1610612743,Nuggets,DEN,Denver,darrell_arthur,2008,2017,2008,1,27,6.5,0.8,3.5,0.0,
1628503,Jamel,Artis,jamel-artis,USA,Pittsburgh/USA,79.0,213.0,1,0,Guard,Inactive,1610612753,Magic,ORL,Orlando,jamel_artis,2017,2017,Undrafted,Undrafted,Undrafted,5.1,1.2,2.5,0.0,
201600,Omer,Asik,omer-asik,Turkey,Fenerbahce/Turkey,84.0,255.0,8,3,Center,Inactive,1610612740,Pelicans,NOP,New Orleans,omer_asik,2010,2017,2008,2,36,5.3,0.6,7.1,0.0,
173,Keith,Askins,keith-askins,USA,Alabama/USA,80.0,215.0,8,2,Forward-Guard,Inactive,1610612748,Heat,MIA,Miami,keith_askins,1990,1998,Undrafted,Undrafted,Undrafted,3.8,0.8,2.9,0.0,
76068,Don,Asmonga,don-asmonga,USA,Alliance/USA,74.0,185.0,0,,Guard,Inactive,1610610024,Bullets,BAL,Baltimore,HISTADD_don_asmonga,1953,1953,Undrafted,Undrafted,Undrafted,0.7,0.7,0.1,0.0,
1088,Chucky,Atkins,chucky-atkins,USA,South Florida/USA,71.0,185.0,11,17,Guard,Inactive,1610612765,Pistons,DET,Detroit,chucky_atkins,1999,2009,Undrafted,Undrafted,Undrafted,9.9,3.4,1.7,0.0,
